"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"ADAMAWA","DEMSA","BILLE","001","BAMORO I/ CENTRAL PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","002","BAMORO II/ NEAR BAMAKO CLINIC","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","003","DAKU SUNG/ DAKUSUNG PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","004","GADAMAYO/ EXT. PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","005","GAH - FULANI/ PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","006","GEJEMBO/ PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","007","GIDAN KILLU/ PLAYIN GROUND","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","008","KWAFARA I/ TERE PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","009","KWAFARA II/ PLAYIN GROUND","EXISTING PU"
"ADAMAWA","DEMSA","BILLE","010","TELWE","NEW PU"
"ADAMAWA","DEMSA","BILLE","011","KASUWAN BILLE","NEW PU"
"ADAMAWA","DEMSA","BILLE","012","BABULI","NEW PU"
"ADAMAWA","DEMSA","BILLE","013","GOGLANDGE","NEW PU"
"ADAMAWA","DEMSA","BILLE","014","GDSS KILLU","NEW PU"
"ADAMAWA","DEMSA","BORRONG","001","BANGE/ BANGE PRIMARY SCHOOL","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","002","KUNTERI/ KUNTERI PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","003","MBUMARA/ PLAYIN GROUND","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","004","MORRO/ MORRO PRIMARY SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","005","TIKKA/ TIKKA PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","006","UNG. GANJI/ NEAR COTTAGE HOSPITAL","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","007","UNG. JENJO/ PLAYIN GROUND","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","008","UNG. MBULAWA/ BORRONG II PRY. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","BORRONG","009","BANGE 2","NEW PU"
"ADAMAWA","DEMSA","BORRONG","010","GDSS BORRONG","NEW PU"
"ADAMAWA","DEMSA","BORRONG","011","CENTRAL PRY. SCH. BORRONG","NEW PU"
"ADAMAWA","DEMSA","BORRONG","012","FOOTBALL FIELD BORRONG","NEW PU"
"ADAMAWA","DEMSA","BORRONG","013","POST OFFICE BORRONG","NEW PU"
"ADAMAWA","DEMSA","BORRONG","014","UNG BULAWA II","NEW PU"
"ADAMAWA","DEMSA","DEMSA","001","GANI GAKU/ PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","DEMSA","002","KODOMUN/ PRI. SCH.","EXISTING PU"
"ADAMAWA","DEMSA","DEMSA","003","KUDIRI/ KUDIRI PRI. SCH.","EXISTING PU"
