"STATE","LG","WARD","POLLING_UNIT_ID","POLLING_UNIT_NAME","REMARK"
"BENUE","ADO","AKPOGE/OGBILOLO","001","OSUDU, OSUDU PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","002","OGBILOLO 1, OGBILOLO PLAY GRD.","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","003","AKPOGE, AKPOGE PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","004","OTOKILO, OTOKILO PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","005","OKPATOBOM, OKPATOBOM PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","006","ONWA, ONWA PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","007","OKPAKO, OKPAKO PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","008","OJALLA, MKT SQ.","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","009","AJENOWA, PLAY GRD.","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","010","ONOGWU, PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","011","ANMETA, PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","012","UMUEZE KOHA, PLAY GRD","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","013","EFOHA PLAY GRD.","EXISTING PU"
"BENUE","ADO","AKPOGE/OGBILOLO","014","OGBILOLO II, PLAY GRD","EXISTING PU"
"BENUE","ADO","APA","001","METHODIST PRI SCHO I, SCH. COMP.APA","EXISTING PU"
"BENUE","ADO","APA","002","R.C.M. SCH. APA, SCH. COMP","EXISTING PU"
"BENUE","ADO","APA","003","APA I MARKETSQ. MARKET SQ.","EXISTING PU"
"BENUE","ADO","APA","004","APA II, OPPOSITE AUSTIN CHEM.","EXISTING PU"
"BENUE","ADO","APA","005","APA III, BY A1-UNAZI PLAY GRD","EXISTING PU"
"BENUE","ADO","APA","006","APA IV BY A1-KPACHO BORE HOLE","EXISTING PU"
"BENUE","ADO","APA","007","APA OGBOZU MARKET SQ.","EXISTING PU"
"BENUE","ADO","APA","008","OKPODO, PLAY GRD","EXISTING PU"
"BENUE","ADO","APA","009","AZIGBILEDE, PLAY GRD","EXISTING PU"
"BENUE","ADO","APA","010","OKPOBILA, MKT SQ.","EXISTING PU"
"BENUE","ADO","APA","011","OGEBE, PRI SCH.","EXISTING PU"
"BENUE","ADO","APA","012","UMUEZEOKA, PLAY GRD","EXISTING PU"
"BENUE","ADO","APA","013","IVEISE, PRI. SCH.","EXISTING PU"
"BENUE","ADO","APA","014","NETH. PRIM. SCH. II SCH. COMP, APA","EXISTING PU"
"BENUE","ADO","APA","015","APA, OKLOBA PLAY GROUND","NEW PU"
"BENUE","ADO","APA","016","ALOKWO PLAY GROUND","NEW PU"
"BENUE","ADO","APA","017","ONYODUMA PLAY GROUND","NEW PU"
"BENUE","ADO","APA","018","VICTORY NUR./PRI. SCH. AL-KPACHO","NEW PU"
"BENUE","ADO","APA","019","UNITY SQUARE, NEW JERUSALEM","NEW PU"
"BENUE","ADO","APA","020","APA, COMM SEC,SCH APA","NEW PU"
"BENUE","ADO","EKILE","001","OFUNAGA, METH. PRIM. SCHOOL","EXISTING PU"
"BENUE","ADO","EKILE","002","BY PRIMARY SCHOOL, ATALOGA/NDUKABI","EXISTING PU"
"BENUE","ADO","EKILE","003","AKPOGE PLAY GROUND","EXISTING PU"
"BENUE","ADO","EKILE","004","IYOMA I, PLAY GROUND","EXISTING PU"
"BENUE","ADO","EKILE","005","BY METH. PRIM. SCH., ONYENE","EXISTING PU"
"BENUE","ADO","EKILE","006","NDIGWE, PLAY GROUND","EXISTING PU"
"BENUE","ADO","EKILE","007","BY PRIM. SCH. NSIDA-NDIGWE","EXISTING PU"
"BENUE","ADO","EKILE","008","ODOKEM, PLAY GROUND","EXISTING PU"
"BENUE","ADO","EKILE","009","METH. PRIM. SCH. ANMEKA EKPUFU","EXISTING PU"
"BENUE","ADO","EKILE","010","ANMEKA NSIDA, NDOUOBASI MKT. SQ","EXISTING PU"
"BENUE","ADO","EKILE","011","EGEDE, PLAY GROUND","EXISTING PU"
"BENUE","ADO","EKILE","012","ALOMO, PLAY GROUND","EXISTING PU"
"BENUE","ADO","EKILE","013","ONOGWU, PLAY GROUND","EXISTING PU"
"BENUE","ADO","EKILE","014","IYOMA II, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","001","L.G. CLINIC I, BY CLINIC PRE. IGUMALE I","EXISTING PU"
"BENUE","ADO","IGUMALE I","002","OTURUKPO, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","003","OGONGO, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","004","IGAH, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","005","A1-AMEH, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","006","OSUKPO, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","007","OLOKWU, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","008","OSABO, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","009","OGBEE, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE I","010","L.G. CLINIC II, BY CLINIC PRE. IGUMALE","EXISTING PU"
"BENUE","ADO","IGUMALE II","001","CAMP. I, MKT. SQ.","EXISTING PU"
"BENUE","ADO","IGUMALE II","002","CAMP II, L.G. DISPENSARY","EXISTING PU"
"BENUE","ADO","IGUMALE II","003","UMU-IGBOKE, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE II","004","UJE-UMUEZOKOHA, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE II","005","UMENYI, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE II","006","ETENYI, MKT SQ.","EXISTING PU"
"BENUE","ADO","IGUMALE II","007","IKPENGBE, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE II","008","AKPA VILLAGE, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE II","009","MISSION GROUND, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IGUMALE II","010","CAMP III, MKT. SQ.","EXISTING PU"
"BENUE","ADO","IGUMALE II","011","WESLEY PRI. SCH. CAMP I","NEW PU"
"BENUE","ADO","IGUMALE II","012","OLE/OKPARA PLAY GROUND","NEW PU"
"BENUE","ADO","IJIGBAN","001","EHAJE, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IJIGBAN","002","IPOLE I, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IJIGBAN","003","OGONGO, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IJIGBAN","004","OBAKOTO METH. PRIM. SCH.","EXISTING PU"
"BENUE","ADO","IJIGBAN","005","EZZA ODUMOKE, L.G.E.A. SCH.","EXISTING PU"
"BENUE","ADO","IJIGBAN","006","ONOGWU, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IJIGBAN","007","UDU-DENYI/NSURA MKT SQ.","EXISTING PU"
"BENUE","ADO","IJIGBAN","008","NDUBAN, PLAY GROUND","EXISTING PU"
"BENUE","ADO","IJIGBAN","009","OFFIANKA BY TAX MASTER'S HOUSE","EXISTING PU"
"BENUE","ADO","IJIGBAN","010","ONUEBOR, PLAY GROUND","EXISTING PU"
